question,answer
hello my good man bill. how is the new video coming alone?,wild and crazy.
?,seems legit.
When's hotewig coming out?,
"Which highway is your favourite, I like the one to hell and the one to the danger zone?",lovely stretch of the.
because vine went under has it been easier to concentrate on bigger projects? (not necessarily less stressful)?,i already mostly transitioned away from vine about a year before it was cancelled.
would you ever do a meet &greet;?,"meet, not greet."
do you think acrylic paint is cool?,i'm not really familiar with it.
cmon bill answer my question why are you doing this to me?,doing what.
approximately how long does the drop crazy hints stage last. or have we been in it this entire time?,i've been doing it for quite a while.
will my question get answered?,maybe.
why do you answer our questions?,
i feel a feeling?,"ah, that's classic."
do you have a favorite song?,
does a circle have one side or infinite sides?,you could look at it either way.
When will you return from the war? :((?,when it is one.
Any tips for people with no plans after high school that feel lost?,get more lost. you might find something.
how is your refrigerator doing?,"pretty cool, i suppose."
do you mind if I ask you a question?,no that's why i made this page.
can i say something important?,you will have to try and see.
oi  m8 do u accept donations?,oh hell yeah.
Should I form a partnership or a sole proprietorship company?,it depends on your needs.
do you not want to answer questions about your education?,i learn best on my own. and i answer questions about that all the time.
bill what happens when I don't think things have inherent meaning?,"all the same stuff, except you don't think it means anything."
how long did it take you to do the small fixes and adjustments for hoj?,maybe a couple of days. there is a progress report on instagram somewhere.
did you write i'm crazy / it's raining a few years before making the video or were they made around the same time? because the expert mode timeline seems to suggest the latter?,the song was written in 2011. the song and video were both recorded in april 2014.
why does misrepresentation feel horrible?,"because you would rather be represented in the right way, not the wrong way."
and if i have been misrepresented how do i fix it?,you will have to represent yourself in the best way you can. and if you are rich perhaps hire a lawyer as well.
my teacher stole my bag of rocks do you have any advice so i can get them back?,"you could try to steal them back, or else call the police."
Where did you learn music?,"at home, and in the workplace."
how cool do u think the scientific method is?,it seems reasonable.
how do u feel about punctuation?,i think it is a useful asset to any writer's tool kit.
What backup have you got in place to ensure you don't loose the progress of the video (eg in a house fire)?,i keep daily backups in my car also.
How much do you know of the animal Duck?,a little bit.
whoa mr wurtz at 2:17 am on 7.7.16 you used capital letters in your answer. the fbi is on their way?,"i have used capital letters many, many times since then. but i don't see what that has to do with the FBI."
"Bill, please make more 5 second videos, i love them so much?","i have already done way too many, compared to the amount of longer/medium length videos i want to make."
why is thabk spelt like that on the thank you page?,
do you think there would be less loose ends in the graphics if you didn't make the dec 1 deadline?,i would probably be less far along by now.
date me?,ok.
do you enjoy being questioned about trivial subjects on a daily basis?,it is a valuable learning experience.
where is your favorite place in the entire universe?,the universe i'm in is always changing. so the places are always different.
what is hotewig please i have no idea but everyone is using it like an inside joke im being left out on?,
what will te next video b?,i can't tell you.
what are you opinions on onions?,they are ok.
would the human race be better off without nukes and various other Big weapons?,"contemplating the concept is inevitable on our quest to learn, do, know, and be everything."
is hotewig being finished by the end of april still mostly plausible?,almost.
UPLOAD SOMETHING ALREADY I LOVE U BYE?,i have to finish making the thing i am going to upload.
when will you post HOTEWIG?,
